k	offset	threshold	pair_mode	mode	sample	elapsed	user_sec	system_sec	max_rss_kb	percent_cpu
9	9	105	or	dna	H9-12940-T2	6:25.89	2689.03	29.48	5441240	704%
9	9	105	or	dna	H9-12940-T2	5:23.36	2558.72	27.13	5680000	799%
9	9	105	or	dna	H9-12940-T2	5:24.08	2643.33	26.66	5992272	823%
12	12	105	or	dna	H9-12940-T2	6:08.86	1542.67	13.74	4766632	421%
12	12	105	or	dna	H9-12940-T2	5:15.59	1427.40	12.37	5027516	456%
12	12	105	or	dna	H9-12940-T2	5:16.91	1449.55	12.17	4881648	461%
15	15	105	or	dna	H9-12940-T2	5:41.53	920.30	12.98	5514540	273%
15	15	105	or	dna	H9-12940-T2	5:14.23	943.56	11.66	4315096	303%
15	15	105	or	dna	H9-12940-T2	5:14.45	904.28	12.09	4881808	291%
18	18	105	or	dna	H9-12940-T2	5:13.61	776.82	11.68	4136788	251%
18	18	105	or	dna	H9-12940-T2	5:12.71	784.27	11.45	4379208	254%
18	18	105	or	dna	H9-12940-T2	5:13.74	797.97	11.53	4314676	258%
21	21	105	or	dna	H9-12940-T2	5:12.86	755.69	11.72	4333384	245%
21	21	105	or	dna	H9-12940-T2	5:28.75	761.97	11.80	3785964	235%
21	21	105	or	dna	H9-12940-T2	6:03.41	806.94	13.07	3530872	225%
24	24	105	or	dna	H9-12940-T2	5:13.08	730.98	10.67	3537212	236%
24	24	105	or	dna	H9-12940-T2	5:13.85	710.66	10.68	3557160	229%
24	24	105	or	dna	H9-12940-T2	6:01.43	791.64	12.35	3419892	222%
27	27	105	or	dna	H9-12940-T2	5:12.46	678.84	11.39	3689344	220%
27	27	105	or	dna	H9-12940-T2	5:13.18	648.72	11.35	3677148	210%
27	27	105	or	dna	H9-12940-T2	5:12.61	693.89	11.08	3595980	225%
30	30	105	or	dna	H9-12940-T2	5:31.56	680.38	11.12	3541864	208%
30	30	105	or	dna	H9-12940-T2	5:12.45	675.05	11.75	3732944	219%
30	30	105	or	dna	H9-12940-T2	5:12.44	671.19	11.33	3640136	218%
15	15	15	or	dna	H9-12940-T2	5:13.44	923.21	12.14	3993988	298%
15	15	15	or	dna	H9-12940-T2	5:13.22	908.31	11.89	4364852	293%
15	15	15	or	dna	H9-12940-T2	5:13.31	902.90	11.50	3860196	291%
15	15	45	or	dna	H9-12940-T2	5:12.92	923.38	12.56	4567044	299%
15	15	45	or	dna	H9-12940-T2	6:05.43	971.97	13.03	4377540	269%
15	15	45	or	dna	H9-12940-T2	5:30.40	930.71	12.35	4316764	285%
15	15	75	or	dna	H9-12940-T2	6:06.34	1034.40	13.11	4445316	285%
15	15	75	or	dna	H9-12940-T2	5:13.52	958.24	12.05	4615620	309%
15	15	75	or	dna	H9-12940-T2	5:14.73	924.55	12.61	6210224	297%
15	15	105	or	dna	H9-12940-T2	5:12.72	916.48	11.90	4583576	296%
15	15	105	or	dna	H9-12940-T2	5:13.20	941.26	11.88	4425600	304%
15	15	105	or	dna	H9-12940-T2	5:34.95	933.87	12.74	4441472	282%
15	15	135	or	dna	H9-12940-T2	5:13.08	951.29	12.44	4668788	307%
15	15	135	or	dna	H9-12940-T2	6:05.33	921.90	13.47	4356348	256%
15	15	135	or	dna	H9-12940-T2	5:13.02	895.44	12.02	4948352	289%
15	1	105	or	dna	H9-12940-T2	7:17.30	9326.83	31.30	31269512	2139%
15	1	105	or	dna	H9-12940-T2	7:05.67	9595.43	27.89	32122480	2260%
15	1	105	or	dna	H9-12940-T2	6:54.66	9218.39	29.41	32117220	2230%
15	3	105	or	dna	H9-12940-T2	5:23.48	3143.60	14.68	10171000	976%
15	3	105	or	dna	H9-12940-T2	6:17.50	3253.99	16.96	8684868	866%
15	3	105	or	dna	H9-12940-T2	5:26.77	3291.17	14.80	10369392	1011%
15	5	105	or	dna	H9-12940-T2	5:18.74	2123.84	12.86	6793680	670%
15	5	105	or	dna	H9-12940-T2	5:18.53	2047.92	13.77	7201456	647%
15	5	105	or	dna	H9-12940-T2	5:17.89	2069.05	12.97	7392328	654%
15	7	105	or	dna	H9-12940-T2	5:20.25	1619.77	12.18	5404708	509%
15	7	105	or	dna	H9-12940-T2	6:10.75	1752.39	14.00	4613032	476%
15	7	105	or	dna	H9-12940-T2	5:44.23	1646.06	13.59	4977288	482%
15	9	105	or	dna	H9-12940-T2	5:18.08	1430.58	12.67	6019224	453%
15	9	105	or	dna	H9-12940-T2	5:15.30	1370.77	12.55	5611952	438%
15	9	105	or	dna	H9-12940-T2	5:15.40	1353.93	12.80	5718544	433%
15	11	105	or	dna	H9-12940-T2	5:15.13	1270.51	12.87	4959964	407%
